"CM 12, 01 o 1, o 7, o 10, o 14, o 16","","Sale","","Object:slave","Seller","","Nidintu-Anu","1302","Gender:Male","Son:1303"
"CM 12, 01 o 1, o 7, o 10, o 16","","Sale","","Object:slave","CoOwner","","Tanittu-Anu","1303","Gender:Male","Father:1302 | Father:1304"
"CM 12, 01 o 2","","Sale","","Object:slave","CoOwner","","Nanaya-iddin","1304","Gender:Male","Son:1303"
"CM 12, 01 o 3, o 7, o 9, o 14, o 15","","Sale","","Object:slave","Slave","","Anu-ittannu","1305","Gender:Male | Profession:ardu","Son:1306"
"CM 12, 01 o 3","","Sale","","Object:slave","Father","","Saniqqa","1306","Gender:Male","Father:1305"
"CM 12, 01 o 4","","Sale","","Object:slave","PreviousOwner","","Anu-bel unu","1307","Gender:Male | Slavemark","Son:1308"
"CM 12, 01 o 4","","Sale","","Object:slave","Father","","Nanaya-iddin","1308","Gender:Male","Father:1307"
"CM 12, 01 o 5, o 8, o 11","","Sale","","Object:slave","Buyer","","Anu-ahhe-iddin","1309","Gender:Male","Son:1310"
"CM 12, 01 o 5, o 8, o 11","","Sale","","Object:slave","Father","","Nanaya-iddin","1310","Gender:Male","Father:1309"
"CM 12, 01 r 2","","Sale","","Object:slave","Witness","","Ana-rabutika-Anu","1311","Gender:Male | Witness:1","Son:1312"
"CM 12, 01 r 2","","Sale","","Object:slave","Father","","Anu-ah-u ab i","1312","Gender:Male","Father:1311"
"CM 12, 01 r 2","","Sale","","Object:slave","Witness","","Anu-uballi ","1313","Gender:Male | Witness:2","Son:1314"
"CM 12, 01 r 3","","Sale","","Object:slave","Father","","Nidintu-Anu","1314","Gender:Male","Father:1313"
"CM 12, 01 r 3","","Sale","","Object:slave","Witness","","Nidintu-Anu","1315","Gender:Male ","Son:20028"
"CM 12, 01 r 4","","Sale","","Object:slave","Witness","","Kidin-Anu","1316","Gender:Male","Son:1317"
"CM 12, 01 r 4","","Sale","","Object:slave","Father ","","Anu-zer-iddin","1317","Gender:Male","Father:1316"
"CM 12, 01 r 5","","Sale","","Object:slave","Witness","","Ina-qibit-Anu","1318","Gender:Male","Son:1319"
"CM 12, 01 r 5","","Sale","","Object:slave","Father ","","Kidin-Anu","1319","Gender:Male","Father:1318"
"CM 12, 01 t.e. iii","","Sale","","Object:slave","Witness","","Anu-iqi anni","1320","Gender:Male","Son:1322 | Brother:1321"
"CM 12, 01 r 6","","Sale","","Object:slave","Witness","","Anu-ik ur","1321","Gender:Male","Son:1322 | Brother:1320"
"CM 12, 01 r 6","","Sale","","Object:slave","Father","","Tanittu-Anu","1322","Gender:Male","Father:1320 | Father:1321"
"CM 12, 01 r 7","","Sale","","Object:slave","Witness","","Rabi-Anu","1323","Gender:Male","Son:1324"
"CM 12, 01 r 7","","Sale","","Object:slave","Father","","Anu-zer-ibni","1324","Gender:Male","Father:1323"
"CM 12, 01 r 7","","Sale","","Object:slave","Witness","","Anu-uballi ","1325","Gender:Male","Son:1326"
"CM 12, 01 r 8","","Sale","","Object:slave","Father",""," ama -ittannu","1326","Gender:Male","Father:1325"
"CM 12, 01 r 8","","Sale","","Object:slave","Witness","","Anu-ah-ittannu","1327","Gender:Male | Witness:10","Son:20013"
"CM 12, 01 r 9","","Sale","","Object:slave","Witness","","Laba i","1328","Gender:Male | Witness:11","Son:20015"
"CM 12, 01 r 9","","Sale","","Object:slave","Witness","","Laba i","1329","Gender:Male | Witness:11","Son:20016"
"CM 12, 01 r 10","","Sale","","Object:slave","Scribe","","Anu-bel unu","1330","Gender:Male | Profession:up arru","Son:1331"
"CM 12, 01 r 10","","Sale","","Object:slave","Father","","Itti-Anu-nuh u","1331","Gender:Male","Father:1330"
"CM 12, 02 o 1, o 12, o 13","04 April 239bc","Sale","","Object:house","Seller","","Rihat-I tar","1332","Gender:Male","Son:1333"
"CM 12, 02 o 1","04 April 239bc","Sale","","Object:house","Father","","Ubar","1333","Gender:Male","Father:1332"
"CM 12, 02 o 3, o 6","04 April 239bc","Sale","","Object:house","Neighbor","","Anu-ah-ittannu","1334","Gender:Male","Son:1335"
"CM 12, 02 o 3, o 6","04 April 239bc","Sale","","Object:house","Father","","Ana-rabutika-Anu","1335","Gender:Male","Father:1334"
"CM 12, 02 o 3, o 7","04 April 239bc","Sale","","Object:house","Neighbor","","Dumqi-Anu","1336","Gender:Male","Son:"
"CM 12, 02 o 3, o 7","04 April 239bc","Sale","","Object:house","Father","","Kidin-Anu","1337","Gender:Male","Father:1336"
